id,lab
0,background
14,3rd-ventricle
15,4th-ventricle
16,brainstem
24,extracerebral_CSF
77,WMH
85,optic-chiasm
2,left-white-matter
3,left-cortex
4,left-lateral-ventricle
7,left-cerebellum-white-matter
8,left-cerebellum-cortex
10,left-thalamus
11,left-caudate
12,left-putamen
13,left-pallidum
17,left-hippocampus
18,left-amygdala
26,left-accumbens
28,left-ventral-DC
41,right-white-matter
42,right-cortex
43,right-lateral-ventricle
46,right-cerebellum-white-matter
47,right-cerebellum-cortex
49,right-thalamus
50,right-caudate
51,right-putamen
52,right-pallidum
53,right-hippocampus
54,right-amygdala
58,right-accumbens
60,right-ventral-DC